index,date,value
0,2024-12-01,344.118636363636
1,2024-11-01,304.952857142857
2,2024-10-01,276.777391304348
3,2024-09-01,278.760476190476
4,2024-08-01,261.437727272727
5,2024-07-01,257.098695652174
6,2024-06-01,248.405
7,2024-05-01,232.342608695652
8,2024-04-01,239.866363636364
9,2024-03-01,208.913333333333
10,2024-02-01,208.783333333333
11,2024-01-01,203.879130434783
12,2023-12-01,210.310476190476
13,2023-11-01,197.433181818182
14,2023-10-01,183.951363636364
15,2023-09-01,183.589047619048
16,2023-08-01,186.346956521739
17,2023-07-01,193.494285714286
18,2023-06-01,207.385
19,2023-05-01,220.121304347826
20,2023-04-01,229.9555
21,2023-03-01,222.663913043478
22,2023-02-01,229.506
23,2023-01-01,206.76
24,2022-12-01,210.388636363636
25,2022-11-01,213.718181818182
26,2022-10-01,240.082380952381
27,2022-09-01,267.492272727273
28,2022-08-01,268.48347826087
29,2022-07-01,255.906666666667
30,2022-06-01,273.763636363636
31,2022-05-01,260.449545454545
32,2022-04-01,265.397619047619
33,2022-03-01,258.99347826087
34,2022-02-01,279.8335
35,2022-01-01,271.081428571429
36,2021-12-01,268.329130434783
37,2021-11-01,258.978181818182
38,2021-10-01,241.073333333333
39,2021-09-01,225.536818181818
40,2021-08-01,216.434545454545
41,2021-07-01,204.500909090909
42,2021-06-01,192.064545454545
43,2021-05-01,186.462857142857
44,2021-04-01,168.648636363636
45,2021-03-01,167.050869565217
46,2021-02-01,166.429
47,2021-01-01,160.819523809524
48,2020-12-01,157.952608695652
49,2020-11-01,150.726190476191
50,2020-10-01,152.056818181818
51,2020-09-01,166.564545454545
52,2020-08-01,163.071428571429
53,2020-07-01,146.780869565217
54,2020-06-01,141.52
55,2020-05-01,149.91619047619
56,2020-04-01,154.630454545455
57,2020-03-01,148.327272727273
58,2020-02-01,135.5005
59,2020-01-01,142.93652173913
60,2019-12-01,156.029090909091
61,2019-11-01,140.981428571429
62,2019-10-01,127.051304347826
63,2019-09-01,128.894285714286
64,2019-08-01,126.279545454545
65,2019-07-01,135.470434782609
66,2019-06-01,129.7235
67,2019-05-01,120.549130434783
68,2019-04-01,120.990454545455
69,2019-03-01,123.888571428571
70,2019-02-01,128.454
71,2019-01-01,128.357391304348
72,2018-12-01,127.058571428571
73,2018-11-01,137.107727272727
74,2018-10-01,137.341739130435
75,2018-09-01,121.18
76,2018-08-01,125.210869565217
77,2018-07-01,130.598636363636
78,2018-06-01,134.03380952381
79,2018-05-01,135.609565217391
80,2018-04-01,134.339523809524
81,2018-03-01,134.939090909091
82,2018-02-01,136.2835
83,2018-01-01,138.876086956522
84,2017-12-01,137.30619047619
85,2017-11-01,140.904090909091
86,2017-10-01,140.709545454545
